Sector,Label,Address,Activities/Services,Phone Number,Creation Year,City,Website,Entreprise Type,Email
Agriculture,GL EVENTS ALGERIE,"Rue de Belle Vue - lot 51 , , , Algeria.",Solution pesage et metrologie.,+213(0)21604190,2010,tipaza,gl-events.com,SARL,jerome.gcomte@gl-events.com
Agriculture,TRANSELECT,"9, rue Zighout Youcef -  , , , Algeria.",Fabrication de charpente métallique.,+213(21)714565,2010,biskra,,SARL,trans_elect@yahoo.fr
Agriculture,2M INDUSTRIES,"Immeuble N°3 Résidence  , , , Algeria.","Vente de stations de concassage, centrales ├á béton, filtres ├á manche COMACO, portes engins, piéces de rechanges engins TP et grues et maintenance.",+21323884643,2010,algiers,http://www.2m-industries.com,SARL,ryma@2m-industries.com
Agriculture,AFRIMAT,"Cité Enassim N° 30 - , Constantine (Algérie) , 25000, Algeria.",Firme représentée de PASTRY BOX,+21331623123,2010,constantine,http://www.afrimat-dz.com,SARL,afrimat@hotmail.fr
Agriculture,AGHEM SARL,"ZI Larbayá. Toudja - 06340 , Bejaia (Algérie), 06340, Algeria.","Chocolat, produits chocolatés - Produits de boulangerie et de pyátisserie - Produits de boulangerie industrielle - Produits de pyátisserie industrielle - Produits semi finis de la boulangerie et de la pyátisserie / Bakery and pastry products - Chocolate, chocolate products - Industrial bakery products - Industrial pastry products - Semi finished products for bakery and pastry Marché(s) / Market(s) : Boulangers - Pyátissiers / Ba-kers - Pastry cooks - Industriels agro-alimentaires / Food and beverage manufacturers",+21334102489,2010,bejaia,http://www.fullfruit.dz,SARL,contact@fullfruit.dz
Agriculture,AGRODIV SPA - AGRO-INDUSTRIES,"28 avenue Colonel Bougera , , , Algeria."," Cafés et thés - Eaux - Farines, levains, Levures - Fruits et légumes (frais, secs, conserve,...), confitures - Pyátes alimentaires, riz et semoules / Coffee and tea - Flours, leavens, yeast - Fruits and vegetables [fresh, dried, canned,...), jams - Pasta products, rice, semolina - Waters Marché(s) / Market(s) : Boulangers - Pyátissiers Bakers - Pastry cooks - Commerçants - Détaillants / Traders - Retailers and wholesalers - Couscous TAAM Laghouat - Germe de blé Ksar El Boukhari - Son de blé Ksar El Boukhari - Germe de blé Blida - Pyátes alimentaires Sétif - Pyátes alimentaires Djelfa - Semoule d'orge Sétif - Son cubé Baghlia",+213(0121826039,2010,tamanrasset,,SARL,spaagrodiv@gmail.com
Agriculture,AGROLIGNE,"Lotissement H n° 22 - El , Alger (Algérie), 16202, Algeria.",Firme représentée de GUNTNER GMBH & CO. KG,+213021313936,2010,alger,http://www.agroligne.com,SARL,farahbouchouareb@gmail.com
Agriculture,AIRCOTHERM SARL,"Zone d'Activité et , Setif (Algérie), 53 19000, Algeria.",Firme représentée de GUNTNER GMBH & CO. KG,+21336517070,2010,setif,aircotherm.com,SARL,f.kada@aircotherm.com
Agriculture,ALZYME SARL,"Cité Nouvelle n° 34 -  , , , Algeria.",Firme représentée de GUNTNER GMBH & CO. KG,+21321393623,2010,tissemsilt,,SARL,medipain@yahoo.fr
Agriculture,ALMANOR EURL,"Cité Les Orangers Coop -  , , , Algeria.",Solution pesage et metrologie.,+213770410915,2010,ain temouchent,,SARL,assoc_basma@yahoo.fr
Construction,2 SFC SARL,"Bordj EI Bahri Alger,  , , Algeria.",Maintenance et réparation chauffage/ climatiseur.,+21321861871,2010,ain defla,,SARL,2sfc.refrigerateur15@gmail.com
Construction,2M INDUSTRIES SARL,"Immeuble N° 3 Résidence  ,  , , Algeria.",Solution pesage et metrologie.,+21323884643,2010,biskra,2m-industries.com,SARL,kaci@2m-industries.com
Construction,3MTP EURL,"Villa 62 B, Patrimoine ,  , , Algeria.","Vente de stations de concassage, centrales ├á béton, filtres ├á manche COMACO, portes engins, piéces de rechanges engins TP et grues et maintenance.",+213021231010,2010,medea,,SARL,hm.3mtp@yahoo.fr
Construction,AADL - DIRECTION GENERALE,"BP N° 62 Said Hamdine,  , , Algeria.",Promoteur immobilier pour le compte de l'Etat.,+21321563241,2010,setif,aadl.com.dz,SARL,aadlcour@aadl.com.dz
Construction,ABC SI IMPORT EXPORT EURL,"Groupe N° 5, lotissement ,  , , Algeria.",Vente de matériel de travaux publics et équipements de byátiment.,+21321755865,2010,touggourt,,SARL,si@hotmail.fr
Construction,ABN BUILDING CORPORATION DZ,"6 Cité Mouloud 09000  ,  , , Algeria.",Fabrication de charpente métallique.,+21325369559,2010,ain temouchent,a-bn.com,SARL,ammour@a-bn.com
Construction,ABRA CONFORT SARL,"11 Rue Des Fréres Bouzid ,  , , Algeria.","Distribution accessoires de plombrie et chauffage, chaudiére, radiateurs, robinetterie.",+21323820470,2010,oran,,SARL,abraconfort@yahoo.fr
Construction,AC 2 ALGIMMO EURL,"Cité Ain Naadja 1074  ,  , 1074  , Algeria.",Promotion immobilier.,+21323480484,2010,bordj bou arreridj,,SARL,bacha.mehdi.pro@gmail.com
Construction,A C M P,"Lot N° 11 Zone  ,  , , Algeria.","Travaux d'usinage en conventionnel et en commande numérique la cimenterie, briqueterie etfaiencerie.",+21324917483,2010,ain temouchent,acmp.dz,SARL,contact@acmp.dz
Construction,ACROW DZ SARL,"Cité des travailleurs lot ,  , , Algeria.","Coffrage, Echafaudage, Etaiements.",+21321755463,2010,souk ahras,acrow.co,SARL,nadhir.kais@acrow.co
ITech,ADM COMPUTER,"Adresse : Cite 1577   , , , Algeria.",Import-export Materiel informatique.,+21323927153,2010,skikda,,SARL,sofiane@yahoo.fr
ITech,ALGERIE TELECOM Spa,"5, Rue Cinqq Maisons,   , , , Algeria.",Opérateur télécom.,,2010,tebessa,http://www.algerietelecom.dz,SARL,contact@algerietelecom.dz
ITech,ACS OFFICE / MILBR,"Adresse : Cite Boushaki , , , Algeria.","Import-export Matériel informatique, bureautique consommable.",+21321249572,2010,ghardaia,http://www.acsoffice-dz.com,SARL,tuto@toto.fr
ITech,ADVANCED OFFICE,"Adresse : 2, Rue Ghoulam , , , Algeria.",Matériel et accessoires informatique / Consommable bureau.,+21323103939,2010,illizi,,SARL,contactadvancedoffice@gmail.com
ITech,BINDESTRICH INTERNATIONAL,"Adresse : 03 bis Kerboua , , , Algeria.",Importation matériel informatique.,+213558292753,2010,khenchela,,SARL,salah.technologies@gmail.com
ITech,"BOlVIARE COMPANY ""STREAM""","Adresse : 26, Rue Mohamed , , , Algeria.",Constructeur matériel informatique et téléphonie.,+21321792561,2010,in guezzam,http://www.streamsystem.com,SARL,responsable.commerciale@bomarecompany.com
ITech,BUROTONE,"Adresse: 18, Rue Tahar   , , , Algeria.",Matériel informatique.,+21341451685,2010,boumerdes,,SARL,burotone@gmail.com
ITech,CHEMLI BUREAUTIQUE ET INFORMATIQUE 'CBI',"Adresse : 55, Avenue , , , Algeria.",Distributeur Gigabyte et Kaspersky.,+21336825291,2010,algiers,cbi.dz,SARL,nadir@cbi.dz
ITech,MAX TEL NET,"Adresse : Cité 2068 Logts , , , Algeria.","Installation réseaux, telecommunication et éléctrique.",+21323839080,2010,el oued,,SARL,maxtelenet@yahoo.fr
ITech,CLYO SYSTEMS,"Adresse: Coopérative le , , , Algeria.",Informatique et sécurité.,+21323785658,2010,boumerdes,http://www.clyosystems.dz,SARL,contact@clyosystems.dz
